id,title,type,episodes,status,score,rank,popularity,favorites,genres,image,genres_list,synopsis_clean
1,Hungry Heart: Wild Striker,TV,52,Finished Airing,7.54,1903.0,4780,245,Sports,https://cdn.myanimelist.net/images/anime/12/49655l.jpg,['Sports'],"As the younger brother of Japanese soccer star Seisuke Kanou, Kyousuke was always expected to grow as a soccer player at the same pace his brother did—an expectation that proved too difficult to meet. Having fallen behind, he now lives in the shadow of his brother's success. Entering his freshman year at Jouyou Akanegaoka High School, Kyousuke vows never to play soccer again. However, Miki Tsujiwaki, the captain of the girls' soccer team, and Mori Kazuto, the manager of the boys' team, recognize Kyousuke's potential and want to see his return to the game for their own reasons. With an opportunity to play soccer again, Kyousuke must either remain steadfast in his decision to abandon the sport he once loved, or allow himself to reignite that flame to become the best striker in the world. [Written by MAL Rewrite]"
2,Initial D Fourth Stage,TV,24,Finished Airing,8.17,453.0,1293,1406,"Action, Drama",https://cdn.myanimelist.net/images/anime/9/10521l.jpg,"['Action', 'Drama']","Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results. The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture. [Written by MAL Rewrite]"
3,Naruto,TV,220,Finished Airing,8.02,667.0,9,84927,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1141/142503l.jpg,"['Action', 'Adventure', 'Fantasy']","Twelve years ago, a colossal demon fox terrorized the world. During the monster's attack on the Hidden Leaf Village, the Hokage—the village's leader and most powerful ninja—sacrifices himself to seal the beast inside a newborn, relieving civilization from destruction while dooming the baby to a lonely life. Now, after years of being shunned and bullied, Naruto Uzumaki pesters the village with elaborate pranks and vandalism. Despite these antics, he works hard to achieve his dream: to become the Hokage and earn the acknowledgement of those who have mistreated him for his entire life. Naruto joins Team 7, a ninja squad made up of two of his peers—prodigy Sasuke Uchiha and clever Sakura Haruno. Under the aloof Kakashi Hatake's leadership, Team 7 takes on a series of difficult missions, forcing its members to grow in strength and comradery despite their many differences. Naruto strives to stand out in his rivalry with Sasuke and earn the romantic affection of Sakura. But as the trio brush against danger and death, their tragic pasts threaten to tear them apart. [Written by MAL Rewrite]"
4,Tennis no Oujisama,TV,178,Finished Airing,7.84,999.0,1383,3061,Sports,https://cdn.myanimelist.net/images/anime/6/21624l.jpg,['Sports'],"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in. Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryouma and his teammates must learn to cooperate if they want to become the champions they aspire to be. [Written by MAL Rewrite]"
5,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Finished Airing,8.69,69.0,932,6425,"Action, Drama, Romance",https://cdn.myanimelist.net/images/anime/1656/137618l.jpg,"['Action', 'Drama', 'Romance']","When mankind's savagery surpasses his fear of death, there is little hope for those who wish to live honest lives. Beneath a full moon, a young boy witnesses the murder of the bandits who had enslaved him, and is then christened with a new name by the man who rescued him. This boy is Shinta, now known as Kenshin Himura, and he is destined to become a swordsman. The softness of his heart does not befit the occupation, but his desire to protect the innocent is absolute. Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen details the origins of the man who would bear the name of Hitokiri Battousai long before he swore his oath not to kill and before he earned his reputation as an assassin. The young man's heart is divided between justice and corruption, while the fate of a nation rests on his actions. [Written by MAL Rewrite]"
6,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,1,Finished Airing,7.55,1819.0,3309,97,Drama,https://cdn.myanimelist.net/images/anime/4/47845l.jpg,['Drama'],"The war against the Tokugawa Shogunate ended years ago. But there are some who are not happy with the outcome. Shigure Takimi watched his friends and family get slashed down in the name of freedom and prosperity. Now he and a band of desperate rebels have sworn to settle one final score. Only one man stands in their way: Kenshin Himura. But when Shigure discovers Kenshin's true identity as the Hitokiri Battousai, his fight becomes a personal vendetta."
7,Akira,Movie,1,Finished Airing,8.16,477.0,208,14744,"Action, Horror, Sci-Fi",https://cdn.myanimelist.net/images/anime/1408/114012l.jpg,"['Action', 'Horror', 'Sci-Fi']","Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns."" During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees. [Written by MAL Rewrite]"
8,Aa! Megami-sama!,OVA,5,Finished Airing,7.27,3095.0,3219,265,"Comedy, Romance, Supernatural",https://cdn.myanimelist.net/images/anime/1566/152081l.jpg,"['Comedy', 'Romance', 'Supernatural']","When college student Keiichi Morisato dials the wrong number while ordering for some food at his dormitory, he accidentally gets connected to the Goddess Hotline and a beautiful goddess named Belldandy appears out of a mirror in front of him. After getting kicked out of the dorm, Keiichi and Belldandy move to an old shrine and soon afterwards, Belldandy's sisters Urd and Skuld move in."
9,Kidou Tenshi Angelic Layer,TV,26,Finished Airing,7.26,3146.0,3103,329,"Award Winning, Comedy, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1192/113699l.jpg,"['Award Winning', 'Comedy', 'Drama', 'Sci-Fi']","12-year-old Misaki Suzuhara has just gotten involved in Angelic Layer, a battling game using electronic dolls called angels. Even as a newbie, Misaki shows advanced skills as she meets new friends and enters Angelic Layer tournaments to fight the greatest Angelic Layer champions of the nation."
10,Ai Yori Aoshi,TV,24,Finished Airing,7.1,4044.0,2118,474,"Comedy, Drama, Romance",https://cdn.myanimelist.net/images/anime/7/10172l.jpg,"['Comedy', 'Drama', 'Romance']","Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kaoru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place."
11,Avenger,TV,13,Finished Airing,5.85,11050.0,5479,21,"Adventure, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/13/19921l.jpg,"['Adventure', 'Fantasy', 'Sci-Fi']","Mars has been colonized and is a world where children have been replaced by robot servants known as ""dolls."" Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed."
12,D.C.: Da Capo,TV,26,Finished Airing,6.7,6111.0,2701,198,"Drama, Romance",https://cdn.myanimelist.net/images/anime/4/73936l.jpg,"['Drama', 'Romance']","Hatsunejima abounds in mysteries—one of which is the town's unwithering cherry trees that are said to grant the most genuine wishes. There are also rumors of people possessing supernatural powers, like Junichi Asakura, who can see other people's dreams and create sweets out of nothing. Alongside his sister Nemu, he enjoys living in peace with his friends at Kazami Academy but chooses to shroud his identity in secrecy. His tranquil school life comes to a halt when he finds out that his childhood friend Sakura Yoshino has returned from America after six years. She is there for one purpose: to fulfill the promises she made long ago with Junichi. Little does anyone know, however, that Sakura's appearance is bound to change everyone's lives—for better or worse. [Written by MAL Rewrite]"
13,Rozen Maiden: Träumend,TV,12,Finished Airing,7.61,1599.0,2182,485,"Action, Drama, Supernatural",https://cdn.myanimelist.net/images/anime/4/10242l.jpg,"['Action', 'Drama', 'Supernatural']","As the story of Rozen Maiden closes, a new chapter begins in Rozen Maiden: Träumend. Shinku and the other sentient dolls of the Rozen Maiden collection are living life as usual at Jun Sakurada's house. Having settled into his role as Shinku's partner in the deadly Alice Game, Jun overcomes his former fears and prepares to return to school. And although Shinku and the other dolls idly pass the days by in the comfort of Jun's home, dark times lie ahead as a new foe presents herself: Barasuishou, the seventh Rozen Maiden. But Barasuishou is a mystery even to her sisters, none of whom have ever laid eyes on her until now. Shinku considers this a sign that the Alice Game is coming to an end, meaning the dolls will soon be forced to fight one another. Haunted by the upcoming battle and nightmares concerning another doll, Shinku begins distancing herself from the others. If she wishes to claim victory, it will come at a high cost—the lives of her sisters. [Written by MAL Rewrite]"
14,Cluster Edge,TV,25,Finished Airing,6.3,8514.0,6598,15,"Action, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1980/103243l.jpg,"['Action', 'Fantasy', 'Sci-Fi']","Cluster Edge Academy isn't just any school; it's THE school, where the offspring of the elite come together to prepare for their roles running a world where artificial soldiers and religious sects are major factors in the battle for total control. Which may be part of why new transfer student Agate Fluorite doesn't quite seem to fit in. It's not just that Agate's enthusiastic attitude stands out among the somber, brooding balance of the student body. There's something about him that demands notice, even from jaded honors students like Beryl Jasper, and from the moment of arrival he's been at the center of a series of mysteries that not even Agate understands. Because Agate's not just another student, he's part of a something so momentous, and dangerous, that the world that built Cluster Edge may not survive its passing. (Source: Sentai Filmworks)"
15,Full Metal Panic!,TV,24,Finished Airing,7.59,1685.0,473,4451,Comedy,https://cdn.myanimelist.net/images/anime/2/75259l.jpg,['Comedy'],"Mithril, a covert military institution using state-of-the-art technology to combat terrorist operations, assigns a specialized team to a sensitive mission. Under the command of superior officer Melissa Mao, sergeants Sousuke Sagara and Kurz Weber must secretly protect Kaname Chidori—a teenage girl who unconsciously holds breakthrough scientific knowledge and is considered a ""Whispered""—from intelligence agencies and other organizations pursuing her abilities. While Kurz and Melissa are to assist him remotely, Sousuke enrolls at Kaname's high school as one of her classmates to closely monitor her. However, his militaristic upbringing and poor social skills lead to a difficult adjustment to civilian life. Not only does he attract unnecessary attention, but his actions frequently make Kaname suspicious of him. Despite the earnest attempts to fulfill his duty, a terrorist ambush further complicates Sousuke's task. Recognizing the vicious mastermind behind the assault, Sousuke abandons his orders to ensure Kaname's safety. [Written by MAL Rewrite]"
16,Mahou Shoujo Lyrical Nanoha,TV,13,Finished Airing,7.41,2409.0,2189,1081,"Action, Comedy, Drama",https://cdn.myanimelist.net/images/anime/1052/136283l.jpg,"['Action', 'Comedy', 'Drama']","Nanoha Takamachi, an ordinary third-grader who enjoys spending time with her family and friends, rescues an injured ferret that she had dreamed about the night before. The next day, the ferret cries out to her telepathically, asking Nanoha to save him. The ferret reveals himself to be Yuuno Scrya, a mage from another world who is trying to collect the dangerous 21 Jewel Seeds that he accidentally scattered across the world. He enlists Nanoha's help, gifting her the magical wand Raising Heart, and teaches her how to become a powerful mage. Days later, after reclaiming a few of the Jewel Seeds, another mage appears: Fate Testarossa. Stronger than Nanoha, Fate refuses to divulge her reasons in trying to collect the Jewel Seeds. Nanoha senses a melancholy in her eyes, but Fate refuses to communicate. Directed by Akiyuki Shinbo, Mahou Shoujo Lyrical Nanoha is a story about the clash of emotions when goals collide. [Written by MAL Rewrite]"
17,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Movie,1,Finished Airing,6.74,5870.0,6017,5,"Drama, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/1132/100198l.jpg,"['Drama', 'Romance', 'Sci-Fi']","Shortly after being rescued off the Himalayas, Federation Ensign Shiro Amada is accused of espionage due to his encounter with Zeon's top-secret mobile armor. Intelligence officer Alice Miller is assigned to investigate on Shiro's whereabouts during his disappearance. Her documented findings will determine whether or not Shiro is a traitor, and what his fate will be as commander of the 08th MS Team."
18,Kidou Senshi Gundam 0083: Stardust Memory,OVA,13,Finished Airing,7.21,3406.0,3468,274,"Adventure, Drama, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/13/26654l.jpg,"['Adventure', 'Drama', 'Romance', 'Sci-Fi']","It is the year 0083 of the Universal Century. The rebellious Principality of Zeon has been defeated in the One Year War by the Earth Federation. However, a faction of Zeon remnants led by Aguille Delaz fled from the final battle, hiding themselves away. After three long years, they attempt to rise up once more, sending Delaz's ace pilot, Anavel Gato, to infiltrate a Federation research base to steal one of two secretly developed prototype Gundams along with its deadly nuclear warhead. Threatened by the rogue Gundam suit and seeking to retain peace, the Earth Federation mobilizes the newly developed Albion carrier to recover the stolen unit. Manned by the remaining test pilots, with rookie pilot Kou Uraki piloting the remaining prototype Gundam, the Albion and her crew are determined to stop Gato, retake the stolen Gundam, and prevent the Zeon remnants from starting another war. [Written by MAL Rewrite]"
19,Shin Kidou Senki Gundam Wing: Endless Waltz,OVA,3,Finished Airing,7.73,1266.0,3451,180,"Award Winning, Drama, Sci-Fi",https://cdn.myanimelist.net/images/anime/1724/149786l.jpg,"['Award Winning', 'Drama', 'Sci-Fi']","In the year After Colony 196, one year after the conclusion of the intergalactic civil war, a state of stasis prevails over the Earth and its colonies. Seeing no further use for their Gundam mobile suits, war heroes Duo Maxwell, Heero Yuy, Trowa Barton, and Quatre Raberba Winner decide to destroy these weapons by launching them into the sun's surface. Before the Gundam reach their destination, the universal peace is shattered by the emergence of Mariemaia Khushrenada—the only child of the former tyrannical aristocrat Treize. Mariemaia abducts diplomat Relena Peacecraft and announces plans to launch ""Operation Meteor,"" with the intention of posthumously fulfilling Treize's world domination plot. With the help of former enemy Zechs Marquise and his mobile suit Tallgeese, the heroic pilots must reacquire their mobile suits to wage one final battle against the Khushrenada dynasty, including fighting against their former ally Wufei Chang, now aligning himself with Mariemaia's ambitions. [Written by MAL Rewrite]"
20,Kidou Senshi Gundam SEED,TV,50,Finished Airing,7.73,1277.0,1469,3709,"Award Winning, Drama, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/1792/91081l.jpg,"['Award Winning', 'Drama', 'Romance', 'Sci-Fi']","In the year Cosmic Era 0071, the space colony Heliopolis remains neutral in the great war raging across the galaxy between Coordinators, human beings whose biological traits have been altered before birth, and Naturals, unaltered people who remain on the planet Earth. The Naturals' deep hatred of the Coordinators drove the advanced beings into space, seeking shelter in man-made colonies. Kira Yamato is a Coordinator and university student on Heliopolis, when his life is thrown into disarray as ZAFT, the military organization composed of rebellious Coordinators, attacks the colony in an effort to steal a set of five state-of-the-art military mobile suits known as Gundams. While ZAFT manages to make off with four of the mobile suits, Kira take control of the final Gundam, the Strike. Surviving the battle, Kira and his college friends join the crew of the Archangel, a ship run by the Earth Alliance, and the young soldiers experience the horrors of war and the loss that comes with it. [Written by MAL Rewrite]"
21,Aishiteruze Baby★★,TV,26,Finished Airing,7.43,2308.0,2226,562,"Comedy, Drama, Romance",https://cdn.myanimelist.net/images/anime/2/69665l.jpg,"['Comedy', 'Drama', 'Romance']","Katakura Kippei is in every way a high school playboy. Spending his days flirting with any girl he can see, responsibility is the last thing on his mind. Life takes an unexpected turn for him as one day he returns home to find himself with the full-time task of caring for his 5-year-old cousin. Kippei's aunt Miyako had disappeared, appearing to have abandoned his cousin, Yuzuyu. With Kippei's lack of responsibility and knowledge of childcare and Yuzuyu's injured heart with the disappearance of her mother, their time together is in for a bumpy ride."
22,Boys Be...,TV,13,Finished Airing,6.38,8058.0,4879,47,"Comedy, Romance",https://cdn.myanimelist.net/images/anime/1/2223l.jpg,"['Comedy', 'Romance']","There are two sides to every love story, and Boys Be... reveals what's really going on—from the guy's point of view! Meet three normal high school guys with just one thing on their minds: girls. Quiet Kyoichi has been friends with Chiharu ever since they were young, but lately, his feelings have begun to change. Lecherous Makoto, a self-proclaimed master of the rules of romance, is ready to sweep the ladies off their feet. And Yoshihiko, a handsome sports nut, is unfortunately a bit clueless in matters of the heart. Join this hapless trio for a year of romantic misadventures that will change their lives forever! (Source: RightStuf)"
23,Hana yori Dango,TV,51,Finished Airing,7.56,1793.0,2987,832,"Drama, Romance",https://cdn.myanimelist.net/images/anime/2/42871l.jpg,"['Drama', 'Romance']","Makino Tsukushi, a girl who comes from a poor family, just wants to get through her two last years at Eitoku Gakuen quietly. But once she makes herself known by standing up for her friend to the F4, the four most popular, powerful, and rich boys at the school, she gets the red card: F4's way of a ""Declaration of War."" But when she doesn't let herself be beaten by them and is starting to fall for one of the F4, Hanazawa Rui, she starts to see that there is more than meets the eye..."
24,Ou Dorobou Jing in Seventh Heaven,OVA,3,Finished Airing,7.23,3336.0,6221,27,"Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1304/140180l.jpg,"['Adventure', 'Comedy', 'Fantasy']","Jing, the infamous King of Bandits, finds himself and his feathered partner Kir behind bars in Seventh Heaven, the most notorious prison complex in the world. There, they seek to steal the Dream Orb from the convict Campari. But before doing so, they must escape from the prison of dreams that Campari has conjured for them."
25,Chuuka Ichiban!,TV,52,Finished Airing,7.59,1680.0,5216,123,"Action, Comedy, Drama, Gourmet",https://cdn.myanimelist.net/images/anime/6/75283l.jpg,"['Action', 'Comedy', 'Drama', 'Gourmet']","The story takes place in 19th century China during the Qing Dynasty, where the Emperor was weakened and the country was close to chaos. It is also during a fictitious era called ""The Era of the Cooking Wars"". It was an era in which top chefs with different cooking styles tried their best to improve their skills and to become the best chef in China. It is a country where insulting a high-grade chef or fooling around with cooking could land a person in a jail, and impersonating a top-chef is as good as usurpation of authority. Chefs compete with each other in order to gain respect and even power, but also with the risks of losing everything. The country of China has four major regions: Beijing, Szechuan, Shanghai, and Guangdong. The beginning of the story takes place in Szechuan, Mao's birthplace. After the death of Mao's mother, Pai, who was called the 'Fairy of Cuisine', Mao becomes a Super Chef in order to take the title as Master Chef of his mother's restaurant. However, before he takes his mother's place as Master Chef, he continues to travel China in order to learn more of the many ways of cooking, in the hopes of becoming a legendary chef, just like his mother. During his journey, he meets great friends and fierce rivals who wish to challenge him in the field of cooking. (Source: Wikipedia)"
