user_id,anime_id,rating
1,12,8
1,57,9
1,133,7
1,244,10
1,389,9
1,512,6
1,655,8
1,702,9
1,899,10
1,1022,7
1,1544,8
1,2001,9
1,2333,7
1,2788,8
2,33,7
2,57,8
2,144,9
2,389,8
2,512,7
2,700,6
2,855,8
2,1022,9
2,1544,7
2,2001,8
2,2450,9
2,2800,6
3,12,6
3,144,8
3,233,7
3,389,9
3,512,8
3,655,9
3,899,7
3,1544,10
3,2001,8
3,2600,9
3,2901,7
4,57,7
4,233,8
4,389,9
4,700,6
4,899,9
4,1022,8
4,1544,7
4,2001,10
4,2450,8
4,2700,7
4,2999,9
5,33,6
5,144,7
5,233,8
5,389,9
5,512,10
5,702,8
5,899,6
5,1544,9
5,2001,7
5,2333,8
5,2600,9
6,12,7
6,57,8
6,144,6
6,389,9
6,655,7
6,899,8
6,1022,9
6,1544,9
6,2001,8
6,2700,7
7,233,7
7,389,8
7,512,6
7,655,9
7,855,8
7,1022,7
7,1544,9
7,2001,10
7,2450,8
7,2800,9
8,33,9
8,57,7
8,144,8
8,389,9
8,702,7
8,899,8
8,1544,7
8,2333,9
8,2600,8
8,2999,10
9,12,10
9,233,8
9,389,9
9,655,7
9,855,9
9,1022,10
9,1544,8
9,2001,9
9,2700,8
9,2800,7
10,57,9
10,233,8
10,389,10
10,512,7
10,702,8
10,899,9
10,1544,9
10,2333,8
10,2600,7
10,2901,8
11,12,7
11,33,6
11,144,8
11,389,9
11,512,8
11,855,8
11,1022,7
11,2001,9
11,2450,9
11,2999,9
12,233,8
12,389,9
12,655,7
12,899,9
12,1544,9
12,2333,8
12,2600,7
12,2700,8
12,2800,9
13,33,7
13,57,6
13,144,9
13,233,8
13,389,9
13,512,7
13,702,6
13,899,9
13,1544,10
13,2700,8
14,12,8
14,144,7
14,233,9
14,389,10
14,512,8
14,655,9
14,1022,8
14,2001,9
14,2450,7
14,2999,8
15,33,8
15,57,7
15,233,9
15,389,10
15,702,8
15,899,9
15,1544,9
15,2333,9
15,2600,8
15,2901,7
16,12,9
16,144,7
16,389,8
16,512,9
16,655,9
16,899,8
16,2001,10
16,2600,7
16,2700,9
16,2999,8
17,233,8
17,389,9
17,512,9
17,702,7
17,855,8
17,1544,9
17,2001,9
17,2333,7
17,2700,9
18,12,6
18,33,8
18,144,7
18,233,8
18,389,9
18,655,8
18,899,9
18,1544,10
18,2450,8
18,2600,9
19,57,9
19,233,8
19,389,9
19,512,10
19,702,8
19,899,9
19,2001,9
19,2700,8
19,2800,7
20,33,7
20,144,6
20,233,8
20,389,9
20,512,8
20,655,9
20,1544,8
20,2333,7
20,2600,8
20,2999,9
3,3,7
21,3,8
21,588,7
21,167,10
21,779,8
22,3,9
